Frequency (Hz),Trace 2 (dBV),Phase (deg)
976.5625,-81.19550457921214,83.59842138373439
981.4453125,-36.96434455574224,70.65073749279345
986.328125,-17.4947675799017,70.7516407399296
991.2109375,-8.738275232430489,70.78354763369907
996.09375,-6.202529267812571,70.80498075722932
1000.9765625,-6.075196584661107,70.8250368405527
1005.859375,-6.697142838213816,70.84823643637282
1010.7421875,-11.30368101695722,70.87115133695654
1015.625,-23.58710285097597,70.89314332159077
1020.5078125,-50.71058358699212,71.24444846098874
1025.390625,-80.34013191065385,168.3887320867777
1030.2734375,-80.8628626208634,79.0552768316539
1035.15625,-80.62453791719702,100.1521555359843
1040.0390625,-81.29758661091499,95.21892916187986
1044.921875,-82.30718381612584,66.43827701568324
1049.8046875,-82.33560624352604,32.7262083558649
1054.6875,-81.54265765406134,34.15726187125634
1059.5703125,-81.52751927340563,32.27909639617782
1064.453125,-81.76463162630698,41.26028672248533
1069.3359375,-81.60317562752968,16.10267274651514
1074.21875,-80.90466207025051,1.942320968547238
1079.1015625,-80.51530059212917,174.1919966718494
1083.984375,-80.20118436538462,170.6580713634944
1088.8671875,-80.27529356493429,148.481559594302
1093.75,-80.23483847227496,118.7832995201666
1098.6328125,-80.52246568661495,91.33132620787052
1103.515625,-80.3236592753407,133.6180588324509
1108.3984375,-80.16332609603288,154.1718304904716
1113.28125,-80.34888772911992,168.6358461989797
1118.1640625,-80.33613731791976,159.6584271462281
1123.046875,-80.11607704336087,82.23408385841338
1127.9296875,-80.18551404636277,44.65964185685495
1132.8125,-80.53475241440432,23.75801013724729
1137.6953125,-80.6819348019547,25.97537978255041
1142.578125,-80.95518427480482,6.82866131949189
1147.4609375,-81.18234595459614,12.56672279951773
1152.34375,-80.91033488198056,10.1988257477208
1157.2265625,-80.38922301500669,179.3853391914519
1162.109375,-80.77933100776137,159.116263172129
1166.9921875,-81.09902547107821,135.4338536388278
1171.875,-81.11408735712919,109.118181188215
1176.7578125,-80.94621666400397,59.69817146197122
1181.640625,-80.93459314949639,107.2220454848426
1186.5234375,-80.70626556027962,87.53041261245416
1191.40625,-80.53909308585703,72.10545227980171
1196.2890625,-81.0150191588386,71.12952830192718
1201.171875,-81.62512328445636,109.5129700034687
1206.0546875,-81.7195911170239,60.03495926241007
1210.9375,-81.54030982827651,60.47578089021385
1215.8203125,-80.95335077240301,52.99063696591415
1220.703125,-80.95068102285043,39.16682870580781
1225.5859375,-81.81270060182875,20.75495057631374
1230.46875,-81.48395717615176,163.0189628502415
1235.3515625,-80.80111571770809,131.1679942596825
1240.234375,-80.57043417234298,106.3372726819776
1245.1171875,-80.98741778167629,72.8359630536595
1250,-81.90014225479842,45.49867507921797
1254.8828125,-82.09192444934243,151.2254218584816
1259.765625,-82.17028788161639,142.3657234181284
1264.6484375,-82.21477215021426,135.6324262866796
1269.53125,-81.84243575218554,139.7593720582985
1274.4140625,-81.05639291394328,67.42027569808641
1279.296875,-80.86826540833175,100.6685785449804
1284.1796875,-80.69480316743423,126.6437483115041
1289.0625,-80.43578227510571,135.6517088662006
1293.9453125,-80.86563635129076,171.8388488400689
1298.828125,-81.22684387960902,30.48076935417715
1303.7109375,-81.01477153446537,123.5433231494431
1308.59375,-80.76549483376303,115.103941153057
1313.4765625,-81.20066620719871,114.9036995863583
1318.359375,-81.69857481177689,113.7091000896135
1323.2421875,-81.66134549785242,120.0835012204473
1328.125,-81.68829133319838,93.85921909444686
1333.0078125,-82.39690134818788,27.69279872450929
1337.890625,-81.80459114436897,14.23961175564425
1342.7734375,-81.19285788554494,7.941496128485785
1347.65625,-80.7855175508704,8.46627658790378
1352.5390625,-80.85670182280866,13.56461832526145
1357.421875,-81.38720863958086,8.357018283833629
1362.3046875,-81.62441254168687,79.96458592310627
1367.1875,-81.05868872013048,21.08129031516266
1372.0703125,-80.46760876715516,13.94752352228254
1376.953125,-79.84087155678246,5.595898850123078
1381.8359375,-79.82362226967255,166.9317095969411
1386.71875,-80.21767405054199,148.8541397598153
1391.6015625,-80.70149306879976,136.5277443102326
1396.484375,-81.29042635971858,128.558995360795
1401.3671875,-81.88191006092212,157.7032840762472
1406.25,-81.86801739266514,1.666707559224925
1411.1328125,-81.43318310971182,4.156538781925965
1416.015625,-80.93935141369226,15.82768351691057
1420.8984375,-80.93446570873459,14.05019786235852
1425.78125,-81.24530322365408,177.4002323718079
1430.6640625,-81.54160224065974,169.114990928357
1435.546875,-81.73272510561426,123.6924415427674
1440.4296875,-81.61687845558632,105.229627758504
1445.3125,-81.43531385402581,96.62788303183588
1450.1953125,-81.89849331448046,78.2108600820364
1455.078125,-81.87426351903837,53.14442615278529
1459.9609375,-81.48670519249146,7.355233808787174
1464.84375,-80.98254310836667,155.6881954669264
1469.7265625,-81.01617360632554,148.0586027866467
1474.609375,-81.17185230239706,157.6132262389554
1479.4921875,-81.24187597782516,0.3690512413743208
1484.375,-81.11537856275298,34.33254845929206
1489.2578125,-81.20086683707397,61.16915815810424
1494.140625,-81.60633790165619,74.02794159409521
1499.0234375,-82.10759254752131,34.88612129040034
1503.90625,-82.60939140411412,155.1213276157059
1508.7890625,-82.48885647124963,141.5173684404166
1513.671875,-81.92404951349332,144.2130324718557
1518.5546875,-81.95806063243361,146.0315245618163
1523.4375,-82.08992621704448,151.7492728978394
1528.3203125,-82.20763506522709,152.4074146191728
1533.203125,-82.33787591163184,124.9116779523419
1538.0859375,-82.45614391899041,143.8453413977013
1542.96875,-82.98499729045942,9.297069139645911
1547.8515625,-82.61171381513138,75.13141140424813
1552.734375,-81.66142312753556,102.605823339592
1557.6171875,-81.35699985992112,113.4998436751873
1562.5,-81.90336209706629,118.9891980092234
1567.3828125,-82.00291503575454,123.5715942009797
1572.265625,-81.23462381853182,125.641808218217
1577.1484375,-81.12819506934622,102.9056265595811
1582.03125,-81.23109980032991,62.16560280327623
1586.9140625,-81.46908178066845,63.82739485527128
1591.796875,-81.59506536545591,64.0861989506589
1596.6796875,-80.90785599951118,58.9207433790007
1601.5625,-79.98039439766805,54.16127633982171
1606.4453125,-79.81897168096954,45.20586291069362
1611.328125,-80.30500040953467,34.98573107868397
1616.2109375,-81.10753681136217,156.7491979085415
1621.09375,-81.63279232986804,91.74990277169361
1625.9765625,-81.69266690945243,67.80145274891332
1630.859375,-81.5835798309372,44.85999503805517
1635.7421875,-81.60325728307834,80.77882716133456
1640.625,-81.65773636971619,73.94921083769853
1645.5078125,-81.8566071064925,74.49548018182429
1650.390625,-82.25175530287105,89.87220896294647
1655.2734375,-82.2353343178164,36.88556417429919
1660.15625,-81.63425926380103,61.88956197539859
1665.0390625,-81.40306264426761,26.17163907647546
1669.921875,-81.20666326966327,7.017162655370628
1674.8046875,-80.72625346900838,20.58164046222247
1679.6875,-80.54594881924702,19.76879856454867
1684.5703125,-80.54313855321085,17.12914958749939
1689.453125,-80.44993353046411,26.79702690693658
1694.3359375,-80.30362513600741,33.70752586062201
