Time (s),Channel 1 (V),Channel 2 (V)
0.000571725,-0.004631609092677908,-0.1293270830004169
0.000572355,-0.004631609092677908,-0.1140375798161057
0.000572985,-0.004970937212359305,-0.1025704524278722
0.000573615,-0.004970937212359305,-0.09492570083571662
0.000574245,-0.004631609092677908,-0.09874807663179443
0.000574875,-0.00429228097299651,-0.1369718345925725
0.000575505,-0.004970937212359305,-0.1446165861847281
0.000576135,-0.004631609092677908,-0.1178599556121835
0.000576765,-0.004631609092677908,-0.07581382185532759
0.000577395,-0.004631609092677908,-0.04523481548670513
0.000578025,-0.00429228097299651,-0.05287956707886075
0.000578655,-0.00429228097299651,-0.06052431867101636
0.000579285,-0.00429228097299651,-0.0834585734474832
0.000579915,-0.004970937212359305,-0.087280949243561
0.000580545,-0.0056495934517221,-0.04523481548670513
0.000581175,-0.005988921571403498,0.02356794884269538
0.000581805,-0.004970937212359305,0.06179170680347344
0.000582435,-0.005310265332040703,0.07325883419170687
0.000583065,-0.005310265332040703,0.09237071317209589
0.000583695,-0.0056495934517221,0.1038378405603293
0.000584325,-0.0056495934517221,0.1076602163564071
0.000584955,-0.004970937212359305,0.1267720953367961
0.000585585,-0.005310265332040703,0.130594471132874
0.000586215,-0.004970937212359305,0.1038378405603293
0.000586845,-0.004970937212359305,0.08854833737601808
0.000587475,-0.005310265332040703,0.08854833737601808
0.000588105,-0.005988921571403498,0.1000154647642515
0.000588735,-0.0056495934517221,0.130594471132874
0.000589365,-0.005988921571403498,0.1420615985211074
0.000589995,-0.005310265332040703,0.1573511017054186
0.000590625,-0.005310265332040703,0.1611734775014964
0.0005912549999999999,-0.005310265332040703,0.1649958532975742
0.000591885,-0.0056495934517221,0.1649958532975742
0.0005925150000000001,-0.004970937212359305,0.1611734775014964
0.000593145,-0.00429228097299651,0.1382392227250296
0.0005937750000000001,-0.004970937212359305,0.1153049679485627
0.000594405,-0.004970937212359305,0.1114825921524849
0.0005950350000000001,-0.0056495934517221,0.1382392227250296
0.000595665,-0.0056495934517221,0.1535287259093408
0.000596295,-0.004970937212359305,0.1573511017054186
0.000596925,-0.004970937212359305,0.1344168469289518
0.000597555,-0.004970937212359305,0.1191273437446405
0.000598185,-0.004631609092677908,0.1076602163564071
0.000598815,-0.004970937212359305,0.1000154647642515
0.000599445,-0.004970937212359305,0.1076602163564071
0.000600075,-0.005310265332040703,0.1191273437446405
0.000600705,-0.0056495934517221,0.1344168469289518
0.000601335,-0.0056495934517221,0.1649958532975742
0.000601965,-0.0056495934517221,0.1955748596661967
0.000602595,-0.004631609092677908,0.1993972354622745
0.000603225,-0.004970937212359305,0.1611734775014964
0.000603855,-0.004970937212359305,0.1382392227250296
0.000604485,-0.004631609092677908,0.1267720953367961
0.000605115,-0.005310265332040703,0.1191273437446405
0.000605745,-0.0056495934517221,0.1191273437446405
0.000606375,-0.004970937212359305,0.1114825921524849
0.000607005,-0.005310265332040703,0.1000154647642515
0.000607635,-0.005988921571403498,0.1076602163564071
0.000608265,-0.005988921571403498,0.1191273437446405
0.000608895,-0.005988921571403498,0.1420615985211074
0.000609525,-0.0056495934517221,0.1535287259093408
0.000610155,-0.005988921571403498,0.1879301080740411
0.000610785,-0.0056495934517221,0.2070419870544301
0.000611415,-0.005310265332040703,0.1802853564818854
0.000612045,-0.006328249691084895,0.1802853564818854
0.000612675,-0.0056495934517221,0.1993972354622745
0.000613305,-0.005310265332040703,0.2070419870544301
0.000613935,-0.0056495934517221,0.1955748596661967
0.000614565,-0.0056495934517221,0.2070419870544301
0.000615195,-0.005310265332040703,0.2032196112583523
0.000615825,-0.0056495934517221,0.2146867386465857
0.000616455,-0.0056495934517221,0.2108643628505079
0.000617085,-0.00700690593044769,0.2337986176269747
0.000617715,-0.006328249691084895,0.2452657450152081
0.000618345,-0.006328249691084895,0.2567328724034416
0.000618975,-0.005310265332040703,0.2605552481995194
0.000619605,-0.004970937212359305,0.2452657450152081
0.000620235,-0.005310265332040703,0.2452657450152081
0.000620865,-0.005988921571403498,0.2643776239955972
0.000621495,-0.0056495934517221,0.2720223755877528
0.000622125,-0.005988921571403498,0.287311878772064
0.000622755,-0.006667577810766293,0.3255356367328421
0.000623385,-0.005988921571403498,0.3599370188975423
0.000624015,-0.0056495934517221,0.3675817704896979
0.000624645,-0.004970937212359305,0.3370027641210755
0.000625275,-0.004631609092677908,0.2796671271799084
0.000625905,-0.004631609092677908,0.2529104966073638
0.000626535,-0.0056495934517221,0.2452657450152081
0.0006271650000000001,-0.0056495934517221,0.2605552481995194
0.000627795,-0.005988921571403498,0.2605552481995194
0.0006284250000000001,-0.005310265332040703,0.268199999791675
0.000629055,-0.0056495934517221,0.249088120811286
0.0006296850000000001,-0.005310265332040703,0.2414433692191303
0.000630315,-0.0056495934517221,0.2337986176269747
0.0006309450000000001,-0.006328249691084895,0.2299762418308969
0.000631575,-0.006328249691084895,0.249088120811286
0.000632205,-0.005988921571403498,0.2796671271799084
0.000632835,-0.005988921571403498,0.3026013819563753
0.000633465,-0.0056495934517221,0.3255356367328421
0.000634095,-0.0056495934517221,0.3522922673053867
0.000634725,-0.005988921571403498,0.3484698915093089
0.000635355,-0.00700690593044769,0.3675817704896979
0.000635985,-0.006328249691084895,0.386693649470087
0.000636615,-0.00700690593044769,0.4019831526543982
0.000637245,-0.007346234050129088,0.4172726558387094
0.000637875,-0.005988921571403498,0.4096279042465538
0.000638505,-0.005310265332040703,0.3752265220818536
0.000639135,-0.005310265332040703,0.3331803883249977
0.000639765,-0.0056495934517221,0.3026013819563753
0.000640395,-0.0056495934517221,0.2911342545681418
0.000641025,-0.0056495934517221,0.2949566303642197
0.000641655,-0.006328249691084895,0.3102461335485309
0.000642285,-0.005988921571403498,0.3140685093446087
0.000642915,-0.005988921571403498,0.3178908851406865
0.000643545,-0.005988921571403498,0.3217132609367643
0.000644175,-0.0056495934517221,0.3178908851406865
0.000644805,-0.005988921571403498,0.3217132609367643
0.000645435,-0.006328249691084895,0.3370027641210755
0.000646065,-0.006667577810766293,0.3599370188975423
0.000646695,-0.005988921571403498,0.3675817704896979
0.000647325,-0.005310265332040703,0.3522922673053867
0.000647955,-0.005988921571403498,0.3484698915093089
0.000648585,-0.006667577810766293,0.3752265220818536
0.000649215,-0.0056495934517221,0.3752265220818536
0.000649845,-0.005988921571403498,0.3637593946936201
0.000650475,-0.006328249691084895,0.3828712736740092
0.000651105,-0.006328249691084895,0.4134502800426316
0.000651735,-0.006328249691084895,0.424917407430865
0.000652365,-0.006328249691084895,0.424917407430865
0.000652995,-0.005988921571403498,0.4325621590230206
0.000653625,-0.005988921571403498,0.4210950316347872
0.000654255,-0.006667577810766293,0.4287397832269428
0.000654885,-0.006667577810766293,0.4363845348190984
0.000655515,-0.006667577810766293,0.4402069106151763
0.000656145,-0.006667577810766293,0.4516740380034097
0.000656775,-0.006328249691084895,0.4478516622073319
0.000657405,-0.00700690593044769,0.4478516622073319
0.000658035,-0.006328249691084895,0.4707859169837987
0.000658665,-0.005310265332040703,0.4631411653916431
0.000659295,-0.005988921571403498,0.4478516622073319
0.000659925,-0.005310265332040703,0.4325621590230206
0.000660555,-0.0056495934517221,0.4172726558387094
0.000661185,-0.005988921571403498,0.4134502800426316
0.0006618150000000001,-0.006667577810766293,0.424917407430865
0.000662445,-0.006328249691084895,0.4325621590230206
0.0006630750000000001,-0.005988921571403498,0.4325621590230206
0.000663705,-0.005988921571403498,0.4325621590230206
0.0006643350000000001,-0.006328249691084895,0.4363845348190984
0.000664965,-0.005988921571403498,0.4402069106151763
0.0006655950000000001,-0.005988921571403498,0.4478516622073319
0.000666225,-0.005988921571403498,0.4631411653916431
0.0006668550000000001,-0.005988921571403498,0.4516740380034097
0.000667485,-0.005988921571403498,0.4478516622073319
0.000668115,-0.006328249691084895,0.4554964137994875
0.000668745,-0.006667577810766293,0.4707859169837987
0.000669375,-0.006667577810766293,0.4822530443720321
0.000670005,-0.006667577810766293,0.48607542016811
0.000670635,-0.00700690593044769,0.4822530443720321
0.000671265,-0.006328249691084895,0.4746082927798765
0.000671895,-0.005988921571403498,0.4707859169837987
0.000672525,-0.006328249691084895,0.4554964137994875
0.000673155,-0.006328249691084895,0.4516740380034097
0.000673785,-0.005310265332040703,0.4363845348190984
0.000674415,-0.005310265332040703,0.4210950316347872
0.000675045,-0.004970937212359305,0.3943384010622426
0.000675675,-0.005988921571403498,0.3905160252661648
0.000676305,-0.005988921571403498,0.3905160252661648
0.000676935,-0.006328249691084895,0.3943384010622426
0.000677565,-0.006328249691084895,0.4172726558387094
0.000678195,-0.006328249691084895,0.4096279042465538
0.000678825,-0.006667577810766293,0.4172726558387094
0.000679455,-0.007685562169810486,0.4440292864112541
0.000680085,-0.00700690593044769,0.4593187895955653
0.000680715,-0.006667577810766293,0.4593187895955653
0.000681345,-0.006328249691084895,0.4440292864112541
0.000681975,-0.005988921571403498,0.4287397832269428
0.000682605,-0.0056495934517221,0.4019831526543982
0.000683235,-0.005988921571403498,0.3905160252661648
0.000683865,-0.006328249691084895,0.3905160252661648
0.000684495,-0.00700690593044769,0.3905160252661648
0.000685125,-0.006328249691084895,0.3981607768583204
0.000685755,-0.005988921571403498,0.4019831526543982
0.000686385,-0.006328249691084895,0.405805528450476
0.000687015,-0.0056495934517221,0.4019831526543982
0.000687645,-0.005988921571403498,0.4019831526543982
0.000688275,-0.0056495934517221,0.4134502800426316
0.000688905,-0.005988921571403498,0.4096279042465538
0.000689535,-0.006667577810766293,0.4287397832269428
0.000690165,-0.006328249691084895,0.4440292864112541
0.000690795,-0.006328249691084895,0.4516740380034097
0.000691425,-0.006667577810766293,0.4593187895955653
0.000692055,-0.006328249691084895,0.4631411653916431
0.000692685,-0.006667577810766293,0.4554964137994875
0.000693315,-0.00700690593044769,0.4707859169837987
0.000693945,-0.006667577810766293,0.4937201717602656
0.000694575,-0.006328249691084895,0.48607542016811
0.000695205,-0.005988921571403498,0.4822530443720321
0.000695835,-0.006328249691084895,0.4898977959641878
0.0006964650000000001,-0.006328249691084895,0.4975425475563434
0.000697095,-0.006328249691084895,0.4898977959641878
0.0006977250000000001,-0.006328249691084895,0.4822530443720321
0.000698355,-0.006667577810766293,0.4822530443720321
0.0006989850000000001,-0.00700690593044769,0.48607542016811
0.000699615,-0.006667577810766293,0.4937201717602656
0.0007002450000000001,-0.006328249691084895,0.5051872991484989
0.000700875,-0.006328249691084895,0.5090096749445767
0.0007015050000000001,-0.00700690593044769,0.5204768023328101
0.000702135,-0.006328249691084895,0.5128320507406545
0.0007027650000000001,-0.005988921571403498,0.48607542016811
0.000703395,-0.006667577810766293,0.48607542016811
0.0007040250000000001,-0.006328249691084895,0.48607542016811
0.000704655,-0.006667577810766293,0.48607542016811
0.000705285,-0.006667577810766293,0.4975425475563434
0.000705915,-0.00700690593044769,0.5166544265367323
0.000706545,-0.00700690593044769,0.5395886813131991
0.000707175,-0.006667577810766293,0.5357663055171213
0.000707805,-0.006667577810766293,0.5510558087014326
0.000708435,-0.006667577810766293,0.5548781844975104
0.000709065,-0.006328249691084895,0.5472334329053548
0.000709695,-0.006328249691084895,0.5281215539249657
0.000710325,-0.006667577810766293,0.5242991781288879
0.000710955,-0.006667577810766293,0.5242991781288879
0.000711585,-0.006328249691084895,0.5204768023328101
0.000712215,-0.0056495934517221,0.5013649233524211
0.000712845,-0.005310265332040703,0.4593187895955653
0.000713475,-0.0056495934517221,0.4287397832269428
0.000714105,-0.00700690593044769,0.424917407430865
0.000714735,-0.006667577810766293,0.4440292864112541
0.000715365,-0.006667577810766293,0.4669635411877209
0.000715995,-0.006328249691084895,0.4784306685759543
0.000716625,-0.006667577810766293,0.4937201717602656
0.000717255,-0.006667577810766293,0.4898977959641878
0.000717885,-0.00700690593044769,0.5090096749445767
0.000718515,-0.006667577810766293,0.5242991781288879
0.000719145,-0.0056495934517221,0.5128320507406545
0.000719775,-0.0056495934517221,0.4822530443720321
0.000720405,-0.006328249691084895,0.4746082927798765
0.000721035,-0.0056495934517221,0.4746082927798765
0.000721665,-0.006328249691084895,0.4746082927798765
0.000722295,-0.00700690593044769,0.4937201717602656
0.000722925,-0.006667577810766293,0.4937201717602656
0.000723555,-0.006328249691084895,0.48607542016811
0.000724185,-0.005988921571403498,0.4746082927798765
0.000724815,-0.006667577810766293,0.4593187895955653
0.000725445,-0.006667577810766293,0.4784306685759543
0.000726075,-0.006667577810766293,0.5090096749445767
0.000726705,-0.00700690593044769,0.5166544265367323
0.000727335,-0.00700690593044769,0.5051872991484989
0.000727965,-0.006667577810766293,0.4975425475563434
0.000728595,-0.006667577810766293,0.4898977959641878
0.000729225,-0.00700690593044769,0.4937201717602656
0.000729855,-0.006667577810766293,0.5051872991484989
0.000730485,-0.006328249691084895,0.5051872991484989
0.0007311150000000001,-0.005988921571403498,0.5051872991484989
0.000731745,-0.005988921571403498,0.4937201717602656
0.0007323750000000001,-0.006328249691084895,0.4937201717602656
0.000733005,-0.006667577810766293,0.48607542016811
0.0007336350000000001,-0.006328249691084895,0.4822530443720321
0.000734265,-0.005988921571403498,0.4746082927798765
0.0007348950000000001,-0.006328249691084895,0.4669635411877209
0.000735525,-0.005988921571403498,0.4669635411877209
0.0007361550000000001,-0.006328249691084895,0.4784306685759543
0.000736785,-0.0056495934517221,0.4822530443720321
0.0007374150000000001,-0.006667577810766293,0.4898977959641878
0.000738045,-0.006328249691084895,0.4898977959641878
0.0007386750000000001,-0.005988921571403498,0.4784306685759543
0.000739305,-0.0056495934517221,0.4746082927798765
0.0007399350000000001,-0.006328249691084895,0.4746082927798765
0.000740565,-0.005988921571403498,0.4784306685759543
0.000741195,-0.0056495934517221,0.4669635411877209
0.000741825,-0.005988921571403498,0.4478516622073319
0.000742455,-0.005988921571403498,0.4287397832269428
0.000743085,-0.005988921571403498,0.3981607768583204
0.000743715,-0.005988921571403498,0.3752265220818536
0.000744345,-0.0056495934517221,0.3599370188975423
0.000744975,-0.006667577810766293,0.3599370188975423
0.000745605,-0.00700690593044769,0.3828712736740092
0.000746235,-0.006667577810766293,0.3943384010622426
0.000746865,-0.005988921571403498,0.4019831526543982
0.000747495,-0.006328249691084895,0.4172726558387094
0.000748125,-0.006667577810766293,0.4440292864112541
0.000748755,-0.006328249691084895,0.4440292864112541
0.000749385,-0.0056495934517221,0.4287397832269428
0.000750015,-0.005988921571403498,0.4210950316347872
0.000750645,-0.006667577810766293,0.4287397832269428
0.000751275,-0.006667577810766293,0.4478516622073319
0.000751905,-0.0056495934517221,0.4516740380034097
0.000752535,-0.005988921571403498,0.4402069106151763
0.000753165,-0.006328249691084895,0.4402069106151763
0.000753795,-0.006667577810766293,0.4516740380034097
0.000754425,-0.006328249691084895,0.4669635411877209
0.000755055,-0.006667577810766293,0.4822530443720321
0.000755685,-0.006667577810766293,0.4975425475563434
0.000756315,-0.00700690593044769,0.5051872991484989
0.000756945,-0.007346234050129088,0.5204768023328101
0.000757575,-0.006667577810766293,0.5357663055171213
0.000758205,-0.006328249691084895,0.5395886813131991
0.000758835,-0.005988921571403498,0.5242991781288879
0.000759465,-0.00700690593044769,0.4975425475563434
0.000760095,-0.006667577810766293,0.4669635411877209
0.000760725,-0.006328249691084895,0.4440292864112541
0.000761355,-0.00700690593044769,0.4478516622073319
0.000761985,-0.006667577810766293,0.4440292864112541
0.000762615,-0.006328249691084895,0.4478516622073319
0.000763245,-0.006328249691084895,0.4402069106151763
0.000763875,-0.005310265332040703,0.4134502800426316
0.000764505,-0.005988921571403498,0.3905160252661648
0.000765135,-0.006328249691084895,0.3981607768583204
0.0007657650000000001,-0.00700690593044769,0.4440292864112541
0.000766395,-0.006328249691084895,0.48607542016811
0.0007670250000000001,-0.005988921571403498,0.4898977959641878
0.000767655,-0.006328249691084895,0.4822530443720321
0.0007682850000000001,-0.005988921571403498,0.4822530443720321
0.000768915,-0.005988921571403498,0.4707859169837987
0.0007695450000000001,-0.005988921571403498,0.4554964137994875
0.000770175,-0.0056495934517221,0.4402069106151763
0.0007708050000000001,-0.006667577810766293,0.4402069106151763
0.000771435,-0.0056495934517221,0.4363845348190984
0.0007720650000000001,-0.006328249691084895,0.4210950316347872
0.000772695,-0.006667577810766293,0.4440292864112541
0.0007733250000000001,-0.005988921571403498,0.4478516622073319
0.000773955,-0.005988921571403498,0.4287397832269428
0.0007745850000000001,-0.005310265332040703,0.4134502800426316
0.000775215,-0.0056495934517221,0.3981607768583204
0.0007758450000000001,-0.0056495934517221,0.3714041462857758
0.000776475,-0.005988921571403498,0.3599370188975423
0.000777105,-0.006667577810766293,0.3905160252661648
0.000777735,-0.006328249691084895,0.3981607768583204
0.000778365,-0.005988921571403498,0.3905160252661648
0.000778995,-0.0056495934517221,0.3714041462857758
0.000779625,-0.005310265332040703,0.3484698915093089
0.000780255,-0.005310265332040703,0.3255356367328421
0.000780885,-0.006667577810766293,0.3293580125289199
0.000781515,-0.006667577810766293,0.3599370188975423
0.000782145,-0.005988921571403498,0.3675817704896979
0.000782775,-0.005310265332040703,0.3675817704896979
0.000783405,-0.0056495934517221,0.3561146431014645
0.000784035,-0.0056495934517221,0.3714041462857758
0.000784665,-0.005988921571403498,0.3637593946936201
0.000785295,-0.006328249691084895,0.3599370188975423
0.000785925,-0.006667577810766293,0.3752265220818536
0.000786555,-0.006667577810766293,0.3828712736740092
0.000787185,-0.006328249691084895,0.3675817704896979
0.000787815,-0.005988921571403498,0.3561146431014645
0.000788445,-0.006667577810766293,0.3714041462857758
0.000789075,-0.005988921571403498,0.3752265220818536
0.000789705,-0.005988921571403498,0.386693649470087
0.000790335,-0.006667577810766293,0.4019831526543982
0.000790965,-0.00700690593044769,0.424917407430865
0.000791595,-0.006328249691084895,0.4172726558387094
0.000792225,-0.0056495934517221,0.3943384010622426
0.000792855,-0.006328249691084895,0.3790488978779314
0.000793485,-0.006328249691084895,0.386693649470087
0.000794115,-0.006328249691084895,0.3981607768583204
0.000794745,-0.005310265332040703,0.3828712736740092
0.000795375,-0.005310265332040703,0.3484698915093089
0.000796005,-0.0056495934517221,0.3102461335485309
0.000796635,-0.005988921571403498,0.2911342545681418
0.000797265,-0.006328249691084895,0.2834895029759862
0.000797895,-0.006328249691084895,0.2987790061602975
0.000798525,-0.006328249691084895,0.3140685093446087
0.000799155,-0.0056495934517221,0.2987790061602975
0.000799785,-0.0056495934517221,0.2834895029759862
0.0008004150000000001,-0.0056495934517221,0.268199999791675
0.000801045,-0.0056495934517221,0.268199999791675
0.0008016750000000001,-0.005988921571403498,0.2643776239955972
0.000802305,-0.005310265332040703,0.2643776239955972
0.0008029350000000001,-0.005310265332040703,0.2720223755877528
0.000803565,-0.005988921571403498,0.2758447513838306
0.0008041950000000001,-0.006328249691084895,0.2834895029759862
0.000804825,-0.006328249691084895,0.3178908851406865
0.0008054550000000001,-0.005988921571403498,0.3140685093446087
